"Reflector/TG Number","Name/Description","DMR2NXDN TG #"
"20421","dl-nordwest.com","7020421"
"20600","GR GREECE NXDN","7020600"
"20612","NXDN VLAANDEREN WAASLAND ON8PMO","7020612"
"20698","NXDN 20698 - Belgique francophone","7020698"
"20899","URF399","7020899"
"21277","URF277","7021277"
"21406","radioclub-arex","7021406"
"21413","D-FRIENDS","7021413"
"21463","REM NXDNReflector","7021463"
"21465","ADER","7021465"
"21909","PRIDE","7021909"
"22108","URF025","7022108"
"22200","URFITA","7022200"
"22202","Sardinia Island","7022202"
"22206","AOT","7022206"
"22208","Italy Centro Digiland","7022208"
"22209","IT Radio Group - Network","7022209"
"22215","Lisci Antioco","7022215"
"22220","IT9IJY","7022220"
"22221","Regionale Lombardia","7022221"
"22222","dmrbrescia.it","7022222"
"22231","ARI FVG","7022231"
"22233","NXDN TG 22233 Veneto","7022233"
"22234","IT 22234","7022234"
"22245","NXDN Piedmont Gruppo DMR Ossola TG22245","7022245"
"22252","NXDN-REF-IT-MULTI-NET","7022252"
"22255","URFITM","7022255"
"22258","IT FreeDMR_RAD","7022258"
"22270","URFDDC","7022270"
"22273","NXDN-BAT","7022273"
"22275","IT NXDN technical group","7022275"
"22276","URFBAT","7022276"
"22277","NXDN REFLECTOR SALENTO","7022277"
"22281","NXDN Basilicata","7022281"
"22287","URFCIS","7022287"
"22367","Ham Network","7022367"
"22825","Gruppe HB9CSR Basel","7022825"
"23426","FreeSTAR UK","7023426"
"23501","KA1VSC","7023501"
"23511","M0UPM","7023511"
"23525","Extended Freedom Network","7023525"
"23551","NXDN Scotland","7023551"
"23595","OZ-DMR NETWORK","7023595"
"24033","Arkansas Radio Heads","7024033"
"24601","Lithuania MultiMode","7024601"
"25000","New England 25000","7025000"
"25504","UA-Dnipro","7025504"
"25577","Azimuth radioclub","7025577"
"25617","KAVKAZ","7025617"
"25619","Volgodonsk","7025619"
"26000","NXDN-26000 Poland","7026000"
"26059","NXDN-26059 Poland","7026059"
"26078","NXDN-26078 Poland","7026078"
"26079","NXDN-26079 Poland","7026079"
"26099","NXDN-26099 Poland","7026099"
"26200","NXDN-26200 - Deutschland","7026200"
"26221","Hamburg-City","7026221"
"26230","26230 - AFU Reg Hannover","7026230"
